Class_ID,train,val,test,Total
1355868,226,64,33,323
1355869,288,82,42,412
1355870,307,88,44,439
1355871,203,58,29,290
1355872,324,93,47,464
1355873,68,20,10,98
1355880,58,16,9,83
1355881,223,64,32,319
1355882,324,93,47,464
1355884,241,69,35,345
1355885,197,56,29,282
1355886,242,69,35,346
1355894,9,2,2,13
1355897,270,77,39,386
1355898,345,99,50,494
1355899,163,46,24,233
1355900,209,60,30,299
1355901,333,96,48,477
1355902,137,40,20,197
1355903,20,6,3,29
1355907,236,68,34,338
1355908,317,90,46,453
1355914,177,50,26,253
1355926,95,27,14,136
1355927,198,57,29,284
1355928,108,31,16,155
1355932,254,73,37,364
1355934,202,58,29,289
1355935,240,69,35,344
1355936,363,104,52,519
1355937,353,101,51,505
1355941,184,53,27,264
1355948,23,7,4,34
1355950,175,50,26,251
1355952,15,4,3,22
1355953,39,12,6,57
1355964,310,89,45,444
1355967,199,57,29,285
1355968,355,102,51,508
1355969,301,86,44,431
1355970,141,40,21,202
1355971,242,69,35,346
1355972,235,68,34,337
1355977,305,88,44,437
1355978,230,66,33,329
1355984,252,72,37,361
1355986,184,53,27,264
1355987,153,44,22,219
1355989,163,46,24,233
1355990,324,92,47,463
1355991,152,44,22,218
1355992,156,45,23,224
1355993,128,36,19,183
1355994,325,93,47,465
1355995,300,86,43,429
1355997,37,10,6,53
1355998,135,39,20,194
1356001,9,3,2,14
1356007,303,87,44,434
1356008,289,82,42,413
1356012,334,96,48,478
1356013,313,90,45,448
1356017,356,102,51,509
1356022,342,98,49,489
1356023,330,94,48,472
1356024,199,57,29,285
1356033,129,37,19,185
1356040,300,86,43,429
1356042,134,38,20,192
1356044,205,58,30,293
1356045,221,64,32,317
1356046,165,47,24,236
1356052,323,92,47,462
1356054,149,42,22,213
1356055,159,46,23,228
1356058,177,50,26,253
1356062,370,106,53,529
1356063,350,100,50,500
1356064,307,88,44,439
1356065,270,77,39,386
1356066,318,91,46,455
1356067,305,87,44,436
1356069,193,56,28,277
1356070,49,14,7,70
1356072,109,31,16,156
